NAME,LTP,DC,DO,DH,DL,PDC,DATE_TIME,DATE_TODAY,HOUR,MIN
JSWSTE,219.05,213.80,215.50,220.80,215.30,213.80,2019-10-11 09:52:52,2019-10-11,09,52
BHAINF,256.50,256.70,256.70,258.10,252.60,256.70,2019-10-11 09:52:52,2019-10-11,09,52
CIPLA,406.60,422.25,425.00,425.00,389.55,422.25,2019-10-11 09:52:52,2019-10-11,09,52
TATMOT,119.20,116.90,117.70,119.85,117.25,116.90,2019-10-11 09:52:52,2019-10-11,09,52
ZEEENT,241.80,244.95,246.00,249.30,239.65,244.95,2019-10-11 09:52:52,2019-10-11,09,52
YESBAN,41.30,40.95,41.00,41.95,41.00,40.95,2019-10-11 09:52:52,2019-10-11,09,52
BSESEN,"38,278.86","37,880.40","37,994.48","38,345.41","37,961.08","37,880.40",2019-10-11 10:24:24,2019-10-11,10,24
HDFBAN,"1,220.30","1,199.95","1,213.00","1,224.10","1,209.60","1,199.95",2019-10-11 10:24:24,2019-10-11,10,24
RELPET,131.50,130.85,129.00,132.40,127.90,130.85,2019-10-11 10:24:24,2019-10-11,10,24
HDFC,"2,016.00","1,987.75","2,000.00","2,024.90","1,995.00","1,987.75",2019-10-11 10:24:24,2019-10-11,10,24
INFTEC,807.75,782.90,785.95,813.00,777.00,782.90,2019-10-11 10:24:24,2019-10-11,10,24
ICIBAN,431.30,423.70,429.40,433.30,427.70,423.70,2019-10-11 10:24:24,2019-10-11,10,24
ITC,244.65,242.95,243.00,246.20,242.95,242.95,2019-10-11 10:24:24,2019-10-11,10,24
TCS,"1,954.85","2,004.40","1,933.00","1,960.90","1,929.00","2,004.40",2019-10-11 10:24:24,2019-10-11,10,24
KOTMAH,"1,618.65","1,585.85","1,592.00","1,624.90","1,592.00","1,585.85",2019-10-11 10:24:24,2019-10-11,10,24
LARTOU,"1,440.00","1,425.35","1,432.40","1,449.90","1,430.65","1,425.35",2019-10-11 10:24:24,2019-10-11,10,24
HINLEV,"1,990.10","1,967.50","1,995.00","1,997.00","1,979.20","1,967.50",2019-10-11 10:24:24,2019-10-11,10,24
AXIBAN,683.40,672.90,675.10,685.90,675.10,672.90,2019-10-11 10:24:24,2019-10-11,10,24
STABAN,258.80,254.05,256.70,261.40,255.50,254.05,2019-10-11 10:24:24,2019-10-11,10,24
