NAME,LTP,DC,DO,DH,DL,PDC,DATE_TIME,DATE_TODAY,HOUR,MIN
HDFBAN,"1,231.40","1,220.80","1,222.30","1,233.85","1,222.30","1,220.80",2019-10-18 09:47:49,2019-10-18,09,47
RELPET,131.50,130.85,129.00,132.40,127.90,130.85,2019-10-18 09:47:49,2019-10-18,09,47
HDFC,"2,084.80","2,088.20","2,095.00","2,095.00","2,065.00","2,088.20",2019-10-18 09:47:49,2019-10-18,09,47
INFTEC,763.05,769.10,766.65,769.25,760.10,769.10,2019-10-18 09:47:49,2019-10-18,09,47
ICIBAN,438.75,440.55,438.40,441.10,436.50,440.55,2019-10-18 09:47:49,2019-10-18,09,47
ITC,246.00,245.85,246.50,247.20,245.00,245.85,2019-10-18 09:47:49,2019-10-18,09,47
TCS,"2,036.70","2,030.70","2,038.00","2,041.20","2,025.10","2,030.70",2019-10-18 09:47:49,2019-10-18,09,47
KOTMAH,"1,604.00","1,603.95","1,603.95","1,605.40","1,591.05","1,603.95",2019-10-18 09:47:49,2019-10-18,09,47
LARTOU,"1,444.75","1,424.25","1,428.00","1,445.00","1,425.80","1,424.25",2019-10-18 09:47:49,2019-10-18,09,47
HINLEV,"2,102.80","2,103.60","2,100.00","2,107.20","2,091.00","2,103.60",2019-10-18 09:47:49,2019-10-18,09,47
AXIBAN,713.00,710.55,710.90,714.75,706.00,710.55,2019-10-18 09:47:49,2019-10-18,09,47
STABAN,267.65,265.45,264.50,268.60,263.50,265.45,2019-10-18 09:47:49,2019-10-18,09,47
BAJFI,"4,178.00","4,105.20","4,120.00","4,200.00","4,082.80","4,105.20",2019-10-18 09:47:49,2019-10-18,09,47
MARUTI,"7,153.00","7,123.10","7,105.00","7,180.25","7,062.95","7,123.10",2019-10-18 09:47:49,2019-10-18,09,47
INDBA,"1,334.45","1,339.80","1,338.00","1,338.00","1,320.35","1,339.80",2019-10-18 09:47:49,2019-10-18,09,47
