NAME,LTP,DC,DO,DH,DL,PDC,CH,PCH,DV,LTT,WH52,WL52,DATE_TIME,DATE_TODAY,HOUR,MIN
TCS,2043.00,2030.70,2038.00,2045.95,2025.10,2030.70,12.30,+0.61,23895,10:45:06.000,2296.00,1784.00,2019-10-18 10:44:52,2019-10-18,10,44
KOTMAH,1610.15,1603.95,1603.95,1614.05,1591.05,1603.95,6.20,+0.39,20417,10:45:07.000,1682.40,1099.00,2019-10-18 10:44:52,2019-10-18,10,44
LARTOU,1450.35,1424.25,1428.00,1455.45,1425.80,1424.25,26.10,+1.83,67365,10:45:10.000,1606.70,1183.40,2019-10-18 10:44:52,2019-10-18,10,44
HINLEV,2110.50,2103.60,2100.00,2114.00,2091.00,2103.60,6.90,+0.33,18272,10:45:13.000,2108.00,1522.00,2019-10-18 10:44:52,2019-10-18,10,44
AXIBAN,708.80,710.55,710.90,714.75,705.70,710.55,-1.75,-0.25,91716,10:45:14.000,826.55,534.15,2019-10-18 10:44:52,2019-10-18,10,44
STABAN,268.35,265.45,264.50,269.90,263.50,265.45,2.90,+1.09,830971,10:45:17.000,373.70,244.35,2019-10-18 10:44:52,2019-10-18,10,44
BAJFI,4163.45,4105.20,4120.00,4200.00,4082.80,4105.20,58.25,+1.42,44379,10:45:18.000,4115.25,2000.80,2019-10-18 10:44:52,2019-10-18,10,44
MARUTI,7217.00,7123.10,7105.00,7234.65,7062.95,7123.10,93.90,+1.32,24539,10:45:19.000,7929.00,5447.00,2019-10-18 10:44:52,2019-10-18,10,44
INDBA,1328.40,1339.80,1338.00,1338.00,1320.35,1339.80,-11.40,-0.85,53706,10:45:21.000,1835.00,1192.00,2019-10-18 10:44:52,2019-10-18,10,44
ASIPAI,1814.80,1812.95,1812.95,1823.85,1788.70,1812.95,1.85,+0.10,18355,10:45:24.000,1824.15,1119.60,2019-10-18 10:44:52,2019-10-18,10,44
BHAAIR,382.00,385.75,385.00,385.00,380.50,385.75,-3.75,-0.97,26112,10:45:23.000,396.55,264.41,2019-10-18 10:44:52,2019-10-18,10,44
HCLTEC,1096.95,1092.90,1103.00,1103.00,1088.25,1092.90,4.05,+0.37,7106,10:45:23.000,1190.00,920.15,2019-10-18 10:44:52,2019-10-18,10,44
TITIND,1282.95,1276.85,1287.70,1287.70,1274.40,1276.85,6.10,+0.48,9049,10:45:27.000,1345.55,766.65,2019-10-18 10:44:52,2019-10-18,10,44
MAHMAH,587.85,593.15,589.75,592.35,586.15,593.15,-5.30,-0.89,25192,10:45:27.000,814.00,502.85,2019-10-18 10:44:52,2019-10-18,10,44
BAFINS,8382.40,8295.65,8362.00,8440.00,8282.45,8295.65,86.75,+1.05,7600,10:45:34.000,8668.65,4960.00,2019-10-18 10:44:52,2019-10-18,10,44
NTPC,119.70,118.60,119.80,121.50,118.50,118.60,1.10,+0.93,127261,10:45:35.000,145.85,106.71,2019-10-18 10:44:52,2019-10-18,10,44
NESIND,14628.00,14512.75,14510.00,14654.40,14392.35,14512.75,115.25,+0.79,956,10:45:36.000,14606.60,9205.00,2019-10-18 10:44:52,2019-10-18,10,44
POWGRI,199.75,197.70,197.00,201.00,197.00,197.70,2.05,+1.04,26105,10:45:40.000,216.20,173.05,2019-10-18 10:44:52,2019-10-18,10,44
ULTCEM,4346.65,4257.40,4260.00,4363.80,4256.90,4257.40,89.25,+2.10,7365,10:45:40.000,4903.90,3263.70,2019-10-18 10:44:52,2019-10-18,10,44
TECMAH,727.00,726.25,724.85,732.15,723.05,726.25,0.75,+0.10,13006,10:45:41.000,846.00,607.90,2019-10-18 10:44:52,2019-10-18,10,44
SUNPHA,399.85,401.40,401.60,402.30,397.80,401.40,-1.55,-0.39,52724,10:45:43.000,616.50,350.40,2019-10-18 10:44:52,2019-10-18,10,44
ONGC,141.85,141.35,141.00,143.00,140.00,141.35,0.50,+0.35,105146,10:45:46.000,178.95,115.55,2019-10-18 10:44:52,2019-10-18,10,44
BAAUTO,3100.30,3110.30,3120.00,3123.45,3085.00,3110.30,-10.00,-0.32,5143,10:45:48.000,3145.55,2400.00,2019-10-18 10:44:52,2019-10-18,10,44
BHARAS,6140.00,6053.45,6078.50,6144.15,6066.00,6053.45,86.55,+1.43,58,10:45:42.000,6539.00,3352.10,2019-10-18 10:44:52,2019-10-18,10,44
INDOIL,146.85,146.45,147.65,147.65,145.95,146.45,0.40,+0.27,142720,10:45:50.000,170.40,116.10,2019-10-18 10:44:52,2019-10-18,10,44
COALIN,204.25,199.35,199.00,204.50,197.90,199.35,4.90,+2.46,220545,10:45:53.000,288.30,177.80,2019-10-18 10:44:52,2019-10-18,10,44
WIPRO,249.45,248.05,248.10,250.65,248.10,248.05,1.40,+0.56,55408,10:45:52.000,301.55,220.50,2019-10-18 10:44:52,2019-10-18,10,44
HERHON,2648.00,2628.60,2629.00,2661.65,2615.10,2628.60,19.40,+0.74,9558,10:45:55.000,3382.70,2228.25,2019-10-18 10:44:52,2019-10-18,10,44
BRIIND,3244.95,3245.20,3244.00,3257.00,3224.50,3245.20,-0.25,-0.01,2849,10:45:56.000,3443.90,2302.00,2019-10-18 10:44:52,2019-10-18,10,44
UNIP,593.55,592.40,591.70,597.20,589.00,592.40,1.15,+0.19,19426,10:45:51.000,709.25,390.53,2019-10-18 10:44:52,2019-10-18,10,44
DRREDD,2718.00,2726.65,2722.50,2744.25,2711.00,2726.65,-8.65,-0.32,1797,10:45:58.000,2965.20,2065.30,2019-10-18 10:44:52,2019-10-18,10,44
ADAPOR,412.70,408.95,410.00,413.35,408.45,408.95,3.75,+0.92,29885,10:45:58.000,430.00,293.95,2019-10-18 10:44:52,2019-10-18,10,44
GRASIM,727.00,724.75,724.75,732.45,718.00,724.75,2.25,+0.31,16402,10:46:01.000,958.55,635.60,2019-10-18 10:44:52,2019-10-18,10,44
VEDLIM,150.30,148.15,148.30,152.15,148.00,148.15,2.15,+1.45,385833,10:46:02.000,228.00,125.70,2019-10-18 10:44:52,2019-10-18,10,44
HINDAL,188.20,188.85,189.00,191.25,186.85,188.85,-0.65,-0.34,96374,10:46:04.000,246.00,171.25,2019-10-18 10:44:52,2019-10-18,10,44
TATSTE,354.80,355.65,355.65,359.60,351.80,355.65,-0.85,-0.24,360624,10:46:04.000,610.00,320.30,2019-10-18 10:44:52,2019-10-18,10,44
EICMOT,20245.90,20518.00,20550.15,20668.60,20036.85,20518.00,-272.10,-1.33,9980,10:46:05.000,25300.00,15196.95,2019-10-18 10:44:52,2019-10-18,10,44
GAIL,128.65,128.70,128.90,130.30,127.85,128.70,-0.05,-0.04,67786,10:46:07.000,190.98,119.65,2019-10-18 10:44:52,2019-10-18,10,44
JSWSTE,221.50,223.35,223.90,224.40,220.65,223.35,-1.85,-0.83,130780,10:46:07.000,378.05,201.90,2019-10-18 10:44:52,2019-10-18,10,44
BHAINF,260.10,257.20,257.50,260.10,254.45,257.20,2.90,+1.13,16150,10:46:09.000,333.80,238.70,2019-10-18 10:44:52,2019-10-18,10,44
CIPLA,443.40,446.30,448.15,448.75,442.95,446.30,-2.90,-0.65,25409,10:46:08.000,646.25,389.55,2019-10-18 10:44:52,2019-10-18,10,44
TATMOT,137.60,138.15,140.00,141.80,135.55,138.15,-0.55,-0.40,2151395,10:46:14.000,239.30,106.00,2019-10-18 10:44:52,2019-10-18,10,44
ZEEENT,254.80,264.70,247.95,262.80,247.95,264.70,-9.90,-3.74,785841,10:46:16.000,506.10,203.70,2019-10-18 10:44:52,2019-10-18,10,44
YESBAN,51.00,47.40,46.80,51.80,46.00,47.40,3.60,+7.59,14158367,10:46:19.000,285.90,29.05,2019-10-18 10:44:52,2019-10-18,10,44
BSESEN,39252.89,39052.06,39087.83,39253.39,38963.60,39052.06,200.83,+0.51,NA,10:46:21.093,NA,NA,2019-10-18 10:46:19,2019-10-18,10,46
HDFBAN,1231.05,1220.80,1222.30,1233.85,1222.30,1220.80,10.25,+0.84,48460,10:46:22.000,1285.00,942.20,2019-10-18 10:46:19,2019-10-18,10,46
RELPET,131.50,130.85,129.00,132.40,127.90,130.85,0.65,+0.50,2225733,15:30:03.000,152.95,68.10,2019-10-18 10:46:19,2019-10-18,10,46
HDFC,2082.30,2088.20,2095.00,2095.00,2065.00,2088.20,-5.90,-0.28,18456,10:46:25.000,2357.00,1646.00,2019-10-18 10:46:19,2019-10-18,10,46
INFTEC,766.40,769.10,766.65,769.25,760.10,769.10,-2.70,-0.35,123286,10:46:29.000,847.40,600.65,2019-10-18 10:46:19,2019-10-18,10,46
ICIBAN,437.80,440.55,438.40,441.10,435.35,440.55,-2.75,-0.62,175865,10:46:32.000,458.45,310.30,2019-10-18 10:46:19,2019-10-18,10,46
ITC,247.20,245.85,246.50,247.20,245.00,245.85,1.35,+0.55,112056,10:46:34.000,310.00,234.10,2019-10-18 10:46:19,2019-10-18,10,46
TCS,2044.00,2030.70,2038.00,2045.95,2025.10,2030.70,13.30,+0.65,23927,10:46:36.000,2296.00,1784.00,2019-10-18 10:46:19,2019-10-18,10,46
KOTMAH,1609.00,1603.95,1603.95,1614.05,1591.05,1603.95,5.05,+0.31,20783,10:46:38.000,1682.40,1099.00,2019-10-18 10:46:19,2019-10-18,10,46
LARTOU,1452.30,1424.25,1428.00,1455.45,1425.80,1424.25,28.05,+1.97,67763,10:46:40.000,1606.70,1183.40,2019-10-18 10:46:19,2019-10-18,10,46
HINLEV,2110.30,2103.60,2100.00,2114.00,2091.00,2103.60,6.70,+0.32,18292,10:46:43.000,2108.00,1522.00,2019-10-18 10:46:19,2019-10-18,10,46
AXIBAN,709.15,710.55,710.90,714.75,705.70,710.55,-1.40,-0.20,92134,10:46:45.000,826.55,534.15,2019-10-18 10:46:19,2019-10-18,10,46
STABAN,268.40,265.45,264.50,269.90,263.50,265.45,2.95,+1.11,844774,10:46:46.000,373.70,244.35,2019-10-18 10:46:19,2019-10-18,10,46
BAJFI,4163.55,4105.20,4120.00,4200.00,4082.80,4105.20,58.35,+1.42,45442,10:46:48.000,4115.25,2000.80,2019-10-18 10:46:19,2019-10-18,10,46
MARUTI,7217.00,7123.10,7105.00,7234.65,7062.95,7123.10,93.90,+1.32,24583,10:46:49.000,7929.00,5447.00,2019-10-18 10:46:19,2019-10-18,10,46
INDBA,1327.25,1339.80,1338.00,1338.00,1320.35,1339.80,-12.55,-0.94,53956,10:46:51.000,1835.00,1192.00,2019-10-18 10:46:19,2019-10-18,10,46
ASIPAI,1816.20,1812.95,1812.95,1823.85,1788.70,1812.95,3.25,+0.18,18410,10:46:54.000,1824.15,1119.60,2019-10-18 10:46:19,2019-10-18,10,46
BHAAIR,382.65,385.75,385.00,385.00,380.50,385.75,-3.10,-0.80,27170,10:46:56.000,396.55,264.41,2019-10-18 10:46:19,2019-10-18,10,46
HCLTEC,1096.05,1092.90,1103.00,1103.00,1088.25,1092.90,3.15,+0.29,7127,10:46:58.000,1190.00,920.15,2019-10-18 10:46:19,2019-10-18,10,46
TITIND,1282.95,1276.85,1287.70,1287.70,1274.40,1276.85,6.10,+0.48,9049,10:47:01.000,1345.55,766.65,2019-10-18 10:46:19,2019-10-18,10,46
MAHMAH,588.15,593.15,589.75,592.35,586.15,593.15,-5.00,-0.84,25198,10:47:02.000,814.00,502.85,2019-10-18 10:46:19,2019-10-18,10,46
BAFINS,8382.40,8295.65,8362.00,8440.00,8282.45,8295.65,86.75,+1.05,7600,10:47:05.000,8668.65,4960.00,2019-10-18 10:46:19,2019-10-18,10,46
NTPC,119.75,118.60,119.80,121.50,118.50,118.60,1.15,+0.97,127461,10:47:06.000,145.85,106.71,2019-10-18 10:46:19,2019-10-18,10,46
NESIND,14628.00,14512.75,14510.00,14654.40,14392.35,14512.75,115.25,+0.79,956,10:47:08.000,14606.60,9205.00,2019-10-18 10:46:19,2019-10-18,10,46
POWGRI,199.45,197.70,197.00,201.00,197.00,197.70,1.75,+0.89,26205,10:47:08.000,216.20,173.05,2019-10-18 10:46:19,2019-10-18,10,46
ULTCEM,4346.65,4257.40,4260.00,4363.80,4256.90,4257.40,89.25,+2.10,7365,10:47:12.000,4903.90,3263.70,2019-10-18 10:46:19,2019-10-18,10,46
TECMAH,727.45,726.25,724.85,732.15,723.05,726.25,1.20,+0.17,13115,10:47:13.000,846.00,607.90,2019-10-18 10:46:19,2019-10-18,10,46
SUNPHA,399.20,401.40,401.60,402.30,397.80,401.40,-2.20,-0.55,53691,10:47:16.000,616.50,350.40,2019-10-18 10:46:19,2019-10-18,10,46
ONGC,142.00,141.35,141.00,143.00,140.00,141.35,0.65,+0.46,105859,10:47:17.000,178.95,115.55,2019-10-18 10:46:19,2019-10-18,10,46
BAAUTO,3100.30,3110.30,3120.00,3123.45,3085.00,3110.30,-10.00,-0.32,5143,10:47:19.000,3145.55,2400.00,2019-10-18 10:46:19,2019-10-18,10,46
BHARAS,6140.00,6053.45,6078.50,6144.15,6066.00,6053.45,86.55,+1.43,58,10:47:15.000,6539.00,3352.10,2019-10-18 10:46:19,2019-10-18,10,46
INDOIL,146.90,146.45,147.65,147.65,145.95,146.45,0.45,+0.31,143940,10:47:25.000,170.40,116.10,2019-10-18 10:46:19,2019-10-18,10,46
COALIN,204.55,199.35,199.00,204.65,197.90,199.35,5.20,+2.61,225655,10:47:26.000,288.30,177.80,2019-10-18 10:46:19,2019-10-18,10,46
WIPRO,249.45,248.05,248.10,250.65,248.10,248.05,1.40,+0.56,55408,10:47:24.000,301.55,220.50,2019-10-18 10:46:19,2019-10-18,10,46
HERHON,2645.00,2628.60,2629.00,2661.65,2615.10,2628.60,16.40,+0.62,9563,10:47:30.000,3382.70,2228.25,2019-10-18 10:46:19,2019-10-18,10,46
BRIIND,3250.45,3245.20,3244.00,3257.00,3224.50,3245.20,5.25,+0.16,2858,10:47:32.000,3443.90,2302.00,2019-10-18 10:46:19,2019-10-18,10,46
UNIP,593.55,592.40,591.70,597.20,589.00,592.40,1.15,+0.19,19686,10:47:33.000,709.25,390.53,2019-10-18 10:46:19,2019-10-18,10,46
DRREDD,2717.65,2726.65,2722.50,2744.25,2711.00,2726.65,-9.00,-0.33,1827,10:47:33.000,2965.20,2065.30,2019-10-18 10:46:19,2019-10-18,10,46
ADAPOR,412.00,408.95,410.00,413.35,408.45,408.95,3.05,+0.75,30037,10:47:37.000,430.00,293.95,2019-10-18 10:46:19,2019-10-18,10,46
GRASIM,728.40,724.75,724.75,732.45,718.00,724.75,3.65,+0.50,16668,10:47:38.000,958.55,635.60,2019-10-18 10:46:19,2019-10-18,10,46
VEDLIM,150.45,148.15,148.30,152.15,148.00,148.15,2.30,+1.55,385893,10:47:40.000,228.00,125.70,2019-10-18 10:46:19,2019-10-18,10,46
HINDAL,188.55,188.85,189.00,191.25,186.85,188.85,-0.30,-0.16,96574,10:47:41.000,246.00,171.25,2019-10-18 10:46:19,2019-10-18,10,46
TATSTE,355.35,355.65,355.65,359.60,351.80,355.65,-0.30,-0.08,363565,10:47:44.000,610.00,320.30,2019-10-18 10:46:19,2019-10-18,10,46
EICMOT,20245.85,20518.00,20550.15,20668.60,20036.85,20518.00,-272.15,-1.33,9981,10:47:47.000,25300.00,15196.95,2019-10-18 10:46:19,2019-10-18,10,46
GAIL,128.95,128.70,128.90,130.30,127.85,128.70,0.25,+0.19,68736,10:47:48.000,190.98,119.65,2019-10-18 10:46:19,2019-10-18,10,46
JSWSTE,221.70,223.35,223.90,224.40,220.65,223.35,-1.65,-0.74,130930,10:47:51.000,378.05,201.90,2019-10-18 10:46:19,2019-10-18,10,46
BHAINF,260.00,257.20,257.50,260.10,254.45,257.20,2.80,+1.09,16243,10:47:50.000,333.80,238.70,2019-10-18 10:46:19,2019-10-18,10,46
CIPLA,443.45,446.30,448.15,448.75,442.95,446.30,-2.85,-0.64,25863,10:47:51.000,646.25,389.55,2019-10-18 10:46:19,2019-10-18,10,46
TATMOT,137.30,138.15,140.00,141.80,135.55,138.15,-0.85,-0.62,2157632,10:47:55.000,239.30,106.00,2019-10-18 10:46:19,2019-10-18,10,46
ZEEENT,253.50,264.70,247.95,262.80,247.95,264.70,-11.20,-4.23,788256,10:47:57.000,506.10,203.70,2019-10-18 10:46:19,2019-10-18,10,46
YESBAN,50.85,47.40,46.80,51.80,46.00,47.40,3.45,+7.28,14222950,10:47:59.000,285.90,29.05,2019-10-18 10:46:19,2019-10-18,10,46
BSESEN,39245.14,39052.06,39087.83,39261.20,38963.60,39052.06,193.08,+0.49,NA,10:48:01.243,NA,NA,2019-10-18 10:47:59,2019-10-18,10,47
HDFBAN,1231.10,1220.80,1222.30,1233.85,1222.30,1220.80,10.30,+0.84,48795,10:48:02.000,1285.00,942.20,2019-10-18 10:47:59,2019-10-18,10,47
RELPET,131.50,130.85,129.00,132.40,127.90,130.85,0.65,+0.50,2225733,15:30:03.000,152.95,68.10,2019-10-18 10:47:59,2019-10-18,10,47
HDFC,2080.00,2088.20,2095.00,2095.00,2065.00,2088.20,-8.20,-0.39,18458,10:48:04.000,2357.00,1646.00,2019-10-18 10:47:59,2019-10-18,10,47
INFTEC,766.50,769.10,766.65,769.25,760.10,769.10,-2.60,-0.34,123698,10:48:04.000,847.40,600.65,2019-10-18 10:47:59,2019-10-18,10,47
ICIBAN,437.70,440.55,438.40,441.10,435.35,440.55,-2.85,-0.65,176783,10:48:07.000,458.45,310.30,2019-10-18 10:47:59,2019-10-18,10,47
ITC,247.35,245.85,246.50,247.40,245.00,245.85,1.50,+0.61,116160,10:48:10.000,310.00,234.10,2019-10-18 10:47:59,2019-10-18,10,47
TCS,2045.00,2030.70,2038.00,2045.95,2025.10,2030.70,14.30,+0.70,24132,10:48:11.000,2296.00,1784.00,2019-10-18 10:47:59,2019-10-18,10,47
KOTMAH,1607.45,1603.95,1603.95,1614.05,1591.05,1603.95,3.50,+0.22,20813,10:48:12.000,1682.40,1099.00,2019-10-18 10:47:59,2019-10-18,10,47
LARTOU,1451.00,1424.25,1428.00,1455.45,1425.80,1424.25,26.75,+1.88,68260,10:48:14.000,1606.70,1183.40,2019-10-18 10:47:59,2019-10-18,10,47
HINLEV,2112.15,2103.60,2100.00,2114.00,2091.00,2103.60,8.55,+0.41,18405,10:48:16.000,2108.00,1522.00,2019-10-18 10:47:59,2019-10-18,10,47
AXIBAN,708.85,710.55,710.90,714.75,705.70,710.55,-1.70,-0.24,92343,10:48:17.000,826.55,534.15,2019-10-18 10:47:59,2019-10-18,10,47
STABAN,268.25,265.45,264.50,269.90,263.50,265.45,2.80,+1.05,847545,10:48:19.000,373.70,244.35,2019-10-18 10:47:59,2019-10-18,10,47
BAJFI,4158.70,4105.20,4120.00,4200.00,4082.80,4105.20,53.50,+1.30,45490,10:48:19.000,4115.25,2000.80,2019-10-18 10:47:59,2019-10-18,10,47
MARUTI,7211.30,7123.10,7105.00,7234.65,7062.95,7123.10,88.20,+1.24,24702,10:48:22.000,7929.00,5447.00,2019-10-18 10:47:59,2019-10-18,10,47
INDBA,1325.65,1339.80,1338.00,1338.00,1320.35,1339.80,-14.15,-1.06,54523,10:48:24.000,1835.00,1192.00,2019-10-18 10:47:59,2019-10-18,10,47
ASIPAI,1816.65,1812.95,1812.95,1823.85,1788.70,1812.95,3.70,+0.20,18630,10:48:18.000,1824.15,1119.60,2019-10-18 10:47:59,2019-10-18,10,47
BHAAIR,382.65,385.75,385.00,385.00,380.50,385.75,-3.10,-0.80,27170,10:48:28.000,396.55,264.41,2019-10-18 10:47:59,2019-10-18,10,47
HCLTEC,1096.05,1092.90,1103.00,1103.00,1088.25,1092.90,3.15,+0.29,7127,10:48:29.000,1190.00,920.15,2019-10-18 10:47:59,2019-10-18,10,47
TITIND,1284.20,1276.85,1287.70,1287.70,1274.40,1276.85,7.35,+0.58,9069,10:48:31.000,1345.55,766.65,2019-10-18 10:47:59,2019-10-18,10,47
MAHMAH,587.60,593.15,589.75,592.35,586.15,593.15,-5.55,-0.94,25848,10:48:28.000,814.00,502.85,2019-10-18 10:47:59,2019-10-18,10,47
BAFINS,8382.25,8295.65,8362.00,8440.00,8282.45,8295.65,86.60,+1.04,7601,10:48:35.000,8668.65,4960.00,2019-10-18 10:47:59,2019-10-18,10,47
NTPC,119.75,118.60,119.80,121.50,118.50,118.60,1.15,+0.97,127569,10:48:36.000,145.85,106.71,2019-10-18 10:47:59,2019-10-18,10,47
NESIND,14608.65,14512.75,14510.00,14654.40,14392.35,14512.75,95.90,+0.66,988,10:48:37.000,14606.60,9205.00,2019-10-18 10:47:59,2019-10-18,10,47
POWGRI,199.50,197.70,197.00,201.00,197.00,197.70,1.80,+0.91,26240,10:48:40.000,216.20,173.05,2019-10-18 10:47:59,2019-10-18,10,47
ULTCEM,4340.00,4257.40,4260.00,4363.80,4256.90,4257.40,82.60,+1.94,7465,10:48:41.000,4903.90,3263.70,2019-10-18 10:47:59,2019-10-18,10,47
TECMAH,729.05,726.25,724.85,732.15,723.05,726.25,2.80,+0.39,13257,10:48:42.000,846.00,607.90,2019-10-18 10:47:59,2019-10-18,10,47
SUNPHA,399.45,401.40,401.60,402.30,397.80,401.40,-1.95,-0.49,53751,10:48:45.000,616.50,350.40,2019-10-18 10:47:59,2019-10-18,10,47
ONGC,141.85,141.35,141.00,143.00,140.00,141.35,0.50,+0.35,106009,10:48:47.000,178.95,115.55,2019-10-18 10:47:59,2019-10-18,10,47
BAAUTO,3100.30,3110.30,3120.00,3123.45,3085.00,3110.30,-10.00,-0.32,5143,10:48:48.000,3145.55,2400.00,2019-10-18 10:47:59,2019-10-18,10,47
BHARAS,6140.00,6053.45,6078.50,6144.15,6066.00,6053.45,86.55,+1.43,58,10:47:15.000,6539.00,3352.10,2019-10-18 10:47:59,2019-10-18,10,47
INDOIL,146.80,146.45,147.65,147.65,145.95,146.45,0.35,+0.24,144441,10:48:47.000,170.40,116.10,2019-10-18 10:47:59,2019-10-18,10,47
COALIN,204.40,199.35,199.00,204.75,197.90,199.35,5.05,+2.53,226574,10:48:55.000,288.30,177.80,2019-10-18 10:47:59,2019-10-18,10,47
WIPRO,249.30,248.05,248.10,250.65,248.10,248.05,1.25,+0.50,57066,10:48:55.000,301.55,220.50,2019-10-18 10:47:59,2019-10-18,10,47
HERHON,2645.00,2628.60,2629.00,2661.65,2615.10,2628.60,16.40,+0.62,9608,10:48:58.000,3382.70,2228.25,2019-10-18 10:47:59,2019-10-18,10,47
BRIIND,3249.60,3245.20,3244.00,3257.00,3224.50,3245.20,4.40,+0.14,2903,10:48:56.000,3443.90,2302.00,2019-10-18 10:47:59,2019-10-18,10,47
UNIP,593.05,592.40,591.70,597.20,589.00,592.40,0.65,+0.11,19786,10:49:01.000,709.25,390.53,2019-10-18 10:47:59,2019-10-18,10,47
DRREDD,2717.65,2726.65,2722.50,2744.25,2711.00,2726.65,-9.00,-0.33,1832,10:48:56.000,2965.20,2065.30,2019-10-18 10:47:59,2019-10-18,10,47
ADAPOR,412.35,408.95,410.00,413.35,408.45,408.95,3.40,+0.83,30192,10:49:04.000,430.00,293.95,2019-10-18 10:47:59,2019-10-18,10,47
GRASIM,727.75,724.75,724.75,732.45,718.00,724.75,3.00,+0.41,16723,10:49:04.000,958.55,635.60,2019-10-18 10:47:59,2019-10-18,10,47
VEDLIM,150.50,148.15,148.30,152.15,148.00,148.15,2.35,+1.59,385995,10:49:06.000,228.00,125.70,2019-10-18 10:47:59,2019-10-18,10,47
HINDAL,188.55,188.85,189.00,191.25,186.85,188.85,-0.30,-0.16,96574,10:49:08.000,246.00,171.25,2019-10-18 10:47:59,2019-10-18,10,47
TATSTE,355.00,355.65,355.65,359.60,351.80,355.65,-0.65,-0.18,367569,10:49:10.000,610.00,320.30,2019-10-18 10:47:59,2019-10-18,10,47
EICMOT,20245.85,20518.00,20550.15,20668.60,20036.85,20518.00,-272.15,-1.33,9981,10:49:11.000,25300.00,15196.95,2019-10-18 10:47:59,2019-10-18,10,47
GAIL,128.90,128.70,128.90,130.30,127.85,128.70,0.20,+0.16,68936,10:49:13.000,190.98,119.65,2019-10-18 10:47:59,2019-10-18,10,47
JSWSTE,221.50,223.35,223.90,224.40,220.65,223.35,-1.85,-0.83,131571,10:49:14.000,378.05,201.90,2019-10-18 10:47:59,2019-10-18,10,47
BHAINF,260.00,257.20,257.50,260.10,254.45,257.20,2.80,+1.09,16243,10:49:09.000,333.80,238.70,2019-10-18 10:47:59,2019-10-18,10,47
CIPLA,442.90,446.30,448.15,448.75,442.65,446.30,-3.40,-0.76,25935,10:49:17.000,646.25,389.55,2019-10-18 10:47:59,2019-10-18,10,47
TATMOT,137.20,138.15,140.00,141.80,135.55,138.15,-0.95,-0.69,2162791,10:49:19.000,239.30,106.00,2019-10-18 10:47:59,2019-10-18,10,47
ZEEENT,253.60,264.70,247.95,262.80,247.95,264.70,-11.10,-4.19,791879,10:49:20.000,506.10,203.70,2019-10-18 10:47:59,2019-10-18,10,47
YESBAN,50.85,47.40,46.80,51.80,46.00,47.40,3.45,+7.28,14255123,10:49:23.000,285.90,29.05,2019-10-18 10:47:59,2019-10-18,10,47
BSESEN,39234.71,39052.06,39087.83,39261.20,38963.60,39052.06,182.65,+0.47,NA,10:49:25.369,NA,NA,2019-10-18 10:49:23,2019-10-18,10,49
HDFBAN,1230.30,1220.80,1222.30,1233.85,1222.30,1220.80,9.50,+0.78,48800,10:49:27.000,1285.00,942.20,2019-10-18 10:49:23,2019-10-18,10,49
RELPET,131.50,130.85,129.00,132.40,127.90,130.85,0.65,+0.50,2225733,15:30:03.000,152.95,68.10,2019-10-18 10:49:23,2019-10-18,10,49
HDFC,2079.85,2088.20,2095.00,2095.00,2065.00,2088.20,-8.35,-0.40,18460,10:49:31.000,2357.00,1646.00,2019-10-18 10:49:23,2019-10-18,10,49
INFTEC,766.40,769.10,766.65,769.25,760.10,769.10,-2.70,-0.35,123837,10:49:33.000,847.40,600.65,2019-10-18 10:49:23,2019-10-18,10,49
ICIBAN,437.70,440.55,438.40,441.10,435.35,440.55,-2.85,-0.65,177406,10:49:34.000,458.45,310.30,2019-10-18 10:49:23,2019-10-18,10,49
ITC,247.45,245.85,246.50,247.55,245.00,245.85,1.60,+0.65,117537,10:49:36.000,310.00,234.10,2019-10-18 10:49:23,2019-10-18,10,49
TCS,2045.70,2030.70,2038.00,2045.95,2025.10,2030.70,15.00,+0.74,24146,10:49:37.000,2296.00,1784.00,2019-10-18 10:49:23,2019-10-18,10,49
KOTMAH,1607.00,1603.95,1603.95,1614.05,1591.05,1603.95,3.05,+0.19,21013,10:49:39.000,1682.40,1099.00,2019-10-18 10:49:23,2019-10-18,10,49
LARTOU,1450.90,1424.25,1428.00,1455.45,1425.80,1424.25,26.65,+1.87,68561,10:49:41.000,1606.70,1183.40,2019-10-18 10:49:23,2019-10-18,10,49
HINLEV,2112.90,2103.60,2100.00,2114.00,2091.00,2103.60,9.30,+0.44,18411,10:49:43.000,2108.00,1522.00,2019-10-18 10:49:23,2019-10-18,10,49
AXIBAN,709.65,710.55,710.90,714.75,705.70,710.55,-0.90,-0.13,92709,10:49:43.000,826.55,534.15,2019-10-18 10:49:23,2019-10-18,10,49
STABAN,268.10,265.45,264.50,269.90,263.50,265.45,2.65,+1.00,850206,10:49:48.000,373.70,244.35,2019-10-18 10:49:23,2019-10-18,10,49
BAJFI,4161.00,4105.20,4120.00,4200.00,4082.80,4105.20,55.80,+1.36,45652,10:49:52.000,4115.25,2000.80,2019-10-18 10:49:23,2019-10-18,10,49
MARUTI,7213.00,7123.10,7105.00,7234.65,7062.95,7123.10,89.90,+1.26,24876,10:49:53.000,7929.00,5447.00,2019-10-18 10:49:23,2019-10-18,10,49
INDBA,1325.95,1339.80,1338.00,1338.00,1320.35,1339.80,-13.85,-1.03,54684,10:49:54.000,1835.00,1192.00,2019-10-18 10:49:23,2019-10-18,10,49
